SID,SITE,ROW,TREE,CORE,TDEPTH,BDEPTH,NOTE,NO3,PH,EC,Sand,Clay,Silt
55,PARA,25,10,2,55,70,NOT PIEZO,0.5,7.82,869.7,43.6823396675,11.709282879,44.6083774535
56,PARA,25,10,2,70,85,NOT PIEZO,0.1,7.8,319.4,59.5863059932,5.3174281437,35.0962658631
57,PARA,25,10,2,85,97,NOT PIEZO,ND,7.87,385.5,39.3333226133,3.7579379602,56.9087394264
58,PARA,25,10,3,0,6,NOT PIEZO,0.9,7.8,383.7,27.6445840127,4.1712289483,68.1841870389
59,PARA,25,10,3,6,22,NOT PIEZO,0.6,7.95,244.2,53.5226709764,4.9809598792,41.4963691444
60,PARA,25,10,3,22,36,NOT PIEZO,ND,7.96,219.4,18.0291396026,19.166276649,62.8045837484
61,PARA,25,10,3,36,47,NOT PIEZO,ND,7.93,136.6,59.5223797677,5.1020490124,35.3755712198
62,PARA,25,10,3,47,53,NOT PIEZO,ND,7.8,104.3,66.4524406325,4.9049937249,28.6425656427
63,PARA,25,10,3,53,57,NOT PIEZO,ND,,,13.3108810444,37.1959151815,49.4932037741
64,PARA,25,10,3,57,62,NOT PIEZO,ND,7.97,79.84,34.5753681978,25.3556325273,40.0689992749
65,PARA,25,10,4,0,13,NOT PIEZO,ND,7.79,62.23,75.3002478236,4.3539087329,20.3458434435
66,PARA,25,10,4,13,16,NOT PIEZO,ND,7.68,89.49,92.7992627665,3.6308965696,3.5698406639
67,PARA,25,10,4,16,35,NOT PIEZO,ND,7.83,91.02,21.6804766705,14.1751330431,64.1443902864
68,PARA,25,10,4,35,55,NOT PIEZO,ND,7.86,72.89,26.3947083763,8.3475456103,65.2577460133
69,PARA,25,10,4,55,64,NOT PIEZO,ND,7.71,41.59,84.2693310234,1.1071907047,14.6234782718
70,PARA,25,10,4,64,75,NOT PIEZO,0.4,7.72,28.95,84.2693310234,1.1071907047,14.6234782718
